YF_Symbol,SC_NAME
514142.BO,TT LTD.     
514144.BO,UNIWORTH LTD
514162.BO,WELSPUN (I) 
514165.BO,IND.ACRYLICS
514167.BO,GANESH ECOSP
514171.BO,CEETA IND.  
514177.BO,RISHABH YARN
514183.BO,BLACKROSE   
514197.BO,ST CORP     
514211.BO,SUMEET INDUS
514215.BO,BINNY LTD.  
514221.BO,KLIFESTYLE  
514223.BO,RAMGOPAL POL
514234.BO,SANGAM INDIA
514238.BO,MKVENTURES  
514240.BO,KUSHIND     
514248.BO,SREECHEM RES
514260.BO,SURBHI IND. 
514264.BO,SEASONS TEXT
514266.BO,ZENITH FIBRE
514272.BO,BHILWARA SP.
514274.BO,AARVEE DENIM
514280.BO,SANRHEA TECH
514286.BO,ASHIMA LTD. 
514300.BO,PIONEER EMB 
514302.BO,VIPPY SPIN. 
514316.BO,RAGHUVIR SYN
514322.BO,KAMADGIRI   
514324.BO,OMNITEX IND.
514326.BO,PATSPIN INDI
514330.BO,ONEGLOBAL   
514332.BO,NEOINFRA    
514354.BO,PREMIER POLY
514358.BO,EVERFIN     
514360.BO,KRRAIL      
514378.BO,YARN SYNDICA
514386.BO,GUJ COTEX   
514400.BO,GARWARE SYN.
514402.BO,ECOHOTELS   
514412.BO,SARUPINDUS  
514418.BO,MANORG      
514428.BO,HINDU.ADHESI
514440.BO,BPTEX       
514442.BO,SRI KPR IND 
514448.BO,JYOTI RESINS
514450.BO,MAHA.RUBTECH
514454.BO,SOUTH.LATEX 
514460.BO,OSWAL YARNS 
514470.BO,WIMSOME TEXT
514484.BO,THAMBI MOD. 
515008.BO,MOD.INSUL.  
515030.BO,ASAHI IN.GLA
515037.BO,MURD.CERAM  
515043.BO,SAINT-GOBAIN
515055.BO,ANANTRAJ    
515059.BO,MADHUS.IND. 
515085.BO,RESTILE CER.
515093.BO,MADHAV MARB.
515127.BO,RAMASIGNS   
515145.BO,HIND.NAT.GLS
515147.BO,HALDYN GLASS
516003.BO,DUROPLY     
516016.BO,SHREYANS IND
516020.BO,AGIO PAPER  
516022.BO,STAR PAPER  
516030.BO,YASHPAKKA   
516032.BO,TAHMARENT   
516062.BO,NAT.PLYWOOD 
516064.BO,ARROWGREEN  
516072.BO,VISHNU CHEM 
516078.BO,JUMBO BAG   
516082.BO,N.R.AGARWAL 
516096.BO,SANGAL PAPER
516098.BO,VENTURA TEXL
516106.BO,SH.KARTHIK P
516108.BO,S.I.PAPER   
516110.BO,FAMILYCARE  
517015.BO,VINDHYA TELE
517035.BO,RIR         
517041.BO,ADORWELDING 
517059.BO,SALZER ELEC 
517063.BO,JETINFOTRAN 
517077.BO,INDAGIV COMM
517096.BO,APLAB LTD.  
517119.BO,PCS TECH    
517146.BO,USHA MART.LT
517166.BO,SPEL SEMICON
517168.BO,SUBROS LTD. 
517170.BO,EDVENSWA    
517174.BO,HONEYWELL   
517201.BO,SWITCH.TECH.
517206.BO,LUMAX IND   
517214.BO,DIGISPICE   
517230.BO,PREM.AU.ELEC
517236.BO,CALCOM VISIO
517238.BO,DYNAVISION  
517246.BO,BCC FUBA    
517258.BO,PRECISION EL
517264.BO,FINELINE CI 
517271.BO,HBL P SYS   
517273.BO,S&S POWER SW
517288.BO,GUJARATPOLY 
517300.BO,GUJ.IND.POW.
517330.BO,CMI LTD.    
517334.BO,MOTHERSON   
517344.BO,MINDTECK (I)
517354.BO,HAVELLSINDIA
517356.BO,ACI INFOCOM 
517360.BO,SBEC SYSTEMS
517370.BO,INCAP LTD.  
517372.BO,GUJ.INTRUX  
517380.BO,IGARSHI MOT 
517385.BO,SYMPHONY    
517393.BO,VINTRON INF.
517397.BO,PAN ELECTR. 
517399.BO,VXL INSTRUM.
517415.BO,LEE&NEE SOFT
517417.BO,PATEL AIRTEM
517421.BO,BFLYGANDHI  
517429.BO,ATHENAGLO   
517431.BO,NARMADA MACP
517437.BO,DUTRON POLY.
517447.BO,R.S.SOFTWARE
517449.BO,MAGNA ELECTR
517463.BO,LINAKS MICRO
517467.BO,MARSONS     
517477.BO,ELNET TECH. 
517494.BO,ACCEL       
517498.BO,WEBELSOLAR  
517500.BO,ROTO PUMPS  
517506.BO,TTK PRESTIGE
517514.BO,DHINDIA     
517522.BO,RAJ GLO WIR 
517530.BO,SURANATP    
517536.BO,ONWARD TECHN
517544.BO,CENTUM ELEC 
517546.BO,ALFA TRANSFO
517548.BO,STARLITE COM
517554.BO,NHCFOODS    
517556.BO,PVP VENT LTD
517562.BO,TRIGYN TECH 
517569.BO,KEI INDUST. 
517571.BO,IMPPOWERS   
518011.BO,KEERTHI     
518017.BO,BHEEMA CEM  
518075.BO,SURAJ PRODUC
518091.BO,ANJANI PORTL
519003.BO,MODINATURAL 
519031.BO,SHAH FOOD(P)
519064.BO,KHANDEL. EXT
519091.BO,TASTY BITE  
519097.BO,RITESH INTER
519105.BO,AVT NATURAL 
519126.BO,HIND.FOODS  
519136.BO,NAHAR INDUST
519152.BO,VADILAL ENT 
519156.BO,VADILAL IND 
519174.BO,ASHIANA AGRO
519183.BO,ADF FOODS LT
519191.BO,RGRL        
519216.BO,AJANTA SOYA 
519224.BO,WILLIAM.MAGO
519230.BO,RICHIRICH   
519234.BO,SIEL        
519238.BO,SAPTARISHI A
519242.BO,SARDA PROT. 
519260.BO,SANWARIA    
519262.BO,PRIMA AGRO L
519279.BO,MADHUR IND  
519285.BO,TARAI FOODS 
519287.BO,MODERN DAIRI
519295.BO,BAMBINO AGRO
519299.BO,PRIME INDS. 
519307.BO,VIKAS WSP   
519319.BO,JATALIA     
519359.BO,POONA DAL   
519367.BO,TRANSGL.FOOD
519383.BO,ANIK INDS   
519397.BO,SHARAT INDUS
519421.BO,KSE LIMITED 
519455.BO,NARBADA     
519457.BO,VIRAT CRANE 
519463.BO,IB INFOTECH 
519471.BO,AMBARPIL    
519475.BO,CHORDIA FOOD
519477.BO,CIANAGRO    
519483.BO,TAI INDUST. 
519500.BO,BKV INDUSTRS
519528.BO,NORBEN TEA  
519532.BO,ASIAN TEA   
519552.BO,HERITGFOOD  
519566.BO,SIMRAN FARMS
519600.BO,CCL PRODUCTS
519602.BO,KELLTONTEC  
519606.BO,INTEG.PROEIN
519612.BO,MAHAAN FOODS
520008.BO,RICO AUTO   
520021.BO,OMAX AUTOS. 
520043.BO,MUNJAL SHOWA
520051.BO,JAMNA AUTO  
520056.BO,SUNDAR.CLAY 
520057.BO,JTEKTINDIA  
520059.BO,MUNAUTO     
520066.BO,JAYBH.MARUTI
520073.BO,RACLGEAR    
520075.BO,SAMKRG PIST.
520111.BO,RATNAMNI MET
520113.BO,VESUVIUS IND
520119.BO,AUTOMOTIVE S
520121.BO,ARCEE INDUST
520123.BO,ABC INDIA   
520127.BO,BALURGHAT TE
520141.BO,SIBAR AUTO  
520151.BO,SHREY SH LOG
520155.BO,STARLOG     
521005.BO,TITANIN     
521014.BO,EUROTEX IND 
521016.BO,INDO COUNT  
521018.BO,MARAL OVERS 
521034.BO,SOMA TEXTILE
521048.BO,ADV LIFESTY 
521054.BO,KAKATIYA TEX
521062.BO,OCTAVE      
521064.BO,TRIDENT     
521068.BO,HISAR SPIN. 
521070.BO,ALOK INDS.  
521080.BO,PASARI SPIN 
521082.BO,SPENTEX INDS
521097.BO,AMARJOTHI SP
521105.BO,OLYMPIA IND.
521109.BO,NAGREEKA EXP
521113.BO,SUDITI IND. 
521131.BO,SBFL        
521137.BO,EUREKA IND. 
521141.BO,ADITYA SPIN.
521149.BO,PRIME URBAN 
521151.BO,DHANLXMI FAB
521161.BO,SRI LAK.SAR.
521163.BO,ZODIAC CLOTH
521176.BO,GANGOTRI TEX
521178.BO,SRI RAMK.MIL
521180.BO,SUPER SPIN. 
521188.BO,UNITED TEXT.
521200.BO,SURYLAK.COTT
521206.BO,SAMTEX FASH.
521210.BO,CITYMAN     
521216.BO,DHAN ROTO SP
521220.BO,DAMOINDUS   
521222.BO,SANBLUE     
521226.BO,UNI ROYAL IN
521228.BO,TATIA GLOB  
521234.BO,SRI NACHAMAI
521238.BO,KDL         
521240.BO,SAMBANDAM SP
521244.BO,CHITRA.SPIN.
521246.BO,PARAS PETRO 
521248.BO,KITEX GARMEN
522001.BO,CRANEX LTD. 
522004.BO,BATLIBOI LTD
522005.BO,AUSTIN ENGG.
522014.BO,UNITED DRILL
522017.BO,FLUIDOMAT   
522029.BO,WINDSOR MACH
522034.BO,SHANTHI GEAR
522036.BO,MIVEN MACHIN
522064.BO,HONDAPOWER  
522073.BO,HITECHGEAR  
522074.BO,ELGI EQUIP  
522091.BO,UV DER HORST
522101.BO,KILBURN ENGG
522105.BO,BIRLA PRETEC
522108.BO,YUKEN INDIA 
522113.BO,TIMKEN (I)  
522122.BO,VOITH PAPER 
522134.BO,ARTSON ENG  
522152.BO,SOLITAIR MC 
522165.BO,INDSIL HYD  
522183.BO,ITL INDUSTRS
522195.BO,FRONTIER SPR
522205.BO,PRAJ IND.LTD
522207.BO,RASANDIK ENG
522209.BO,YOGI SUNGWON
522215.BO,HLEGLAS     
522217.BO,GUJ APOIND  
522229.BO,TANEJA AERO.
522231.BO,CONART ENG. 
522235.BO,MINAL IND   
522237.BO,SHIVAGRICO  
522241.BO,M.M.FORGINGS
522245.BO,IYKOT HITEC 
522249.BO,MAYUR UNIQ. 
522251.BO,CENLUB INDUS
522257.BO,RAJOO ENGIN.
522267.BO,VEEJAY LAKSH
522275.BO,GET&D       
522281.BO,RAM RAT.WIRE
522285.BO,JAY NECO IND
522287.BO,KPIL        
522292.BO,CANDOUR     
522294.BO,T & I GLOBAL
522295.BO,CONTROL PRNT
522650.BO,BEMCO HYDRAU
523007.BO,ANSAL BUILD.
523011.BO,WEIZMANN LTD
523019.BO,B.N.RATHI SE
523021.BO,RISHITECH   
523023.BO,SINCLAIR HOT
523025.BO,SAFARI IND. 
523054.BO,BIN.TEX.PR(P
523062.BO,JJ FINANCE  
523100.BO,COSMO FERR. 
523105.BO,P.POLYSAC(NR
523113.BO,FUTURA SEC. 
523116.BO,SANCO TRANS 
523120.BO,ADOR MULTI. 
523127.BO,EIH ASSO.HOT
523144.BO,MEDI CAPS   
523151.BO,OTCO INTERN.
523160.BO,MORGAN CRU  
523186.BO,BA PACK     
523204.BO,ABAN OFFSHO 
523207.BO,KOKUYOCMLN  
523222.BO,SRM ENERGY  
523229.BO,BHARAT SEATS
523232.BO,CONT.PETRO  
523242.BO,NB FOOT WEAR
523248.BO,MACHINO PLAS
523260.BO,PEARL POLYME
523261.BO,VENKEY'S (I)
523269.BO,ADVANI HOTEL
523277.BO,G.V.FILMS   
523283.BO,SUPER HOUSE 
523289.BO,RAMA VISION 
523301.BO,TCPL PACK   
523309.BO,SHRIGANG IND
523319.BO,BALMER LAWRI
523323.BO,KOVAI MEDI. 
523329.BO,ELDECO HOUS.
523367.BO,DCMSHRIRAM  
523369.BO,DCM SHR.IND 
523371.BO,MAWANA SUGAR
523373.BO,MINI DIAMOND
523384.BO,MAH.RAS.APEX
523385.BO,NILKAMAL L  
523387.BO,TRITON CORP.
523391.BO,NAHAR POLY  
523395.BO,3M INDIA LTD
523398.BO,JCHAC       
523405.BO,JM FINANCIAL
523411.BO,ADCINDIA    
523419.BO,TAMIL.TELE. 
523425.BO,SUNRAJ DIAM.
523445.BO,REL INDL INF
523449.BO,SHARP INDIA 
523457.BO,LINDEINDIA  
523465.BO,IND.BANK HSG
523467.BO,JAIMATA GLAS
523475.BO,LOTUS CHOC  
523483.BO,PACIFIC IND.
523489.BO,CMM HOSPITAL
523519.BO,UNI OFF AUTO
523537.BO,APM INDUS.  
523539.BO,PRECISION WR
523550.BO,KRYPTON IND 
523558.BO,SWISSMLTRY  
523566.BO,MARTIN BURN 
523574.BO,FEL         
523586.BO,IND.TONERS  
523594.BO,KUNSTSTOFFE 
523598.BO,SHIPP.CORPN 
523606.BO,SIKA INTER. 
523610.BO,ITI LTD.    
523618.BO,DREDGING COR
523620.BO,PHARMASIA   
523628.BO,PODDAR      
523630.BO,NATIONAL FER
523638.BO,IP RINGS LTD
523642.BO,PI INDUS.LTD
523648.BO,PLASTIBLEND 
523650.BO,YASHINNO    
523652.BO,KKPLASTICK  
523660.BO,WATERBASE   
523672.BO,FLEX FOODS  
523676.BO,GOLKUNDA DIA
523694.BO,APCOTEX IND 
523696.BO,FORTIS MLR  
523704.BO,MASTEK LTD  
523708.BO,EIMCO ELECON
523710.BO,SAYAJI HOTEL
523716.BO,ASHIANA HOU 
523722.BO,SVAM SOFTWAR
523732.BO,ECO BOARD IN
523736.BO,DVL         
523752.BO,TIHIL       
523754.BO,MAHEPC      
523756.BO,SREIINFRA   
523782.BO,MITSHI      
523792.BO,MAZDA LTD   
523796.BO,VICEROY HOTE
523826.BO,SOVEREIGN DI
523828.BO,MENON BEAR. 
523832.BO,MUKAT PIPES 
523836.BO,GUJ.RAFFIA  
523838.BO,SIMPLX INFRA
523840.BO,INN.TECH.PAC
523842.BO,SUPER TANNER
523844.BO,CONSTRONIC  
523850.BO,AXTEL INDUS.
523862.BO,PIFL        
523874.BO,PRECI CONTNR
523896.BO,APIL        
524000.BO,POONAWALLA  
524013.BO,HIND.FLUROCA
524019.BO,KINGFA      
524031.BO,PATIDAR     
524037.BO,RAMA PHOSPH 
524038.BO,VENLON ENTR 
524051.BO,POLYPLEX    
524075.BO,ALBERT DAVID
524080.BO,HAR.LEATHER 
524091.BO,CARYSIL     
524109.BO,KABRA EXTR  
524129.BO,VINYL CHEM  
524136.BO,PEE CEE COSM
524156.BO,T C M LTD.  
524164.BO,IOL CHEM PH 
524174.BO,KESAR PETRO 
524200.BO,VINATI ORG. 
524202.BO,LACTOSE(I)  
524204.BO,TEESTA AGRO 
524208.BO,AARTI INDUST
524210.BO,PENTOKEY ORG
524212.BO,WANBURY LTD 
524218.BO,RESONANCE   
524226.BO,GUJ AMB EXP 
524230.BO,RASHTR.CHEM.
524238.BO,GUJINJK     
524280.BO,KOPRAN LTD. 
524288.BO,AIMCO PESTI.
524314.BO,GUJ.TERC LAB
524322.BO,KABRA DRUGS 
524324.BO,SEYAIND     
524330.BO,JAYANT AGRO 
524332.BO,BCLIL       
524336.BO,SH.HARI CHEM
524342.BO,INDOBORAXC  
524348.BO,AARTI DRUGS 
524370.BO,BODAL CHEM  
524372.BO,ORCHIDPHAR  
524394.BO,VIMTA LABS  
524396.BO,BIOFIL CHEM 
524400.BO,ISHITA DRUGS
524404.BO,MARKSANS    
524408.BO,UNIV.STARCH 
524412.BO,AAREY DRUGS 
524414.BO,NORRIS MEDI.
524440.BO,CAMEX LTD   
524444.BO,EVEXIA      
524458.BO,INDOEURO    
524470.BO,SYNCOM FORM.
524480.BO,RIDHI SIDHI 
524488.BO,SVCIND      
524494.BO,IPCA LAB LTD
524500.BO,KILITCH DRUG
524506.BO,CORAL LAB.  
524516.BO,BACIL PHARMA
524518.BO,KREBS BIOCHM
524520.BO,KMC SHIL    
524522.BO,LAFFANS PETR
524534.BO,BHASKAR AGRO
524542.BO,SUKJIT STRCH
524558.BO,NEULAND LAB.
524564.BO,GAYATRI BIO 
524570.BO,PODDAR PIGM.
524576.BO,VIVID IND   
524580.BO,PRIYA LTD.  
524582.BO,TIRUPATI STA
524590.BO,HEMORGANIC  
524592.BO,JD ORGOCHEM 
524594.BO,ASHOK-ALCO  
524598.BO,AKSHARCHEM I
524602.BO,BANDARAM    
524606.BO,BERYL DRUGS 
524614.BO,INDXTRA     
524622.BO,ISTRNETWK   
524624.BO,GAGAN GASES 
524628.BO,PARKER AGRO.
524632.BO,SHUKRAPHAR  
524634.BO,ALU FLUORIDE
524636.BO,OXYGENTAPH  
524640.BO,ARCHITORG   
524642.BO,SIKOZY REAL 
524648.BO,INDO AMINES 
524652.BO,IND.SWIFT LT
524654.BO,NATURAL CAPS
524661.BO,WELCURE DRUG
524663.BO,BH.IMMUN&BIO
524667.BO,SOTL        
524669.BO,HESTER BISC 
524675.BO,KABSONS INDU
524687.BO,BASANT AGRO 
524689.BO,PARENT.DRUGS
524703.BO,SANDU PHARMA
524709.BO,NACLIND     
524711.BO,VISTA PHARMA
524715.BO,SUN PHARMA. 
524717.BO,TITAN BIOTEC
524731.BO,JENBURKT PH.
524735.BO,HIKAL LTD.  
524742.BO,CAPLIN POINT
524748.BO,LINK PHARMA 
524752.BO,DECIPHER    
524768.BO,EMMESSAR BIO
524774.BO,NGL FINE CHM
524790.BO,EVEREST ORG.
524804.BO,AUROB.PHARMA
524808.BO,PHYTOCHEM I.
524816.BO,NATCO PHARM 
524818.BO,DYNAMIC IND.
524820.BO,PANAMA PETRO
524824.BO,BAL PHARMA  
524828.BO,BDH INDUS.  
526001.BO,JAUS POLYMER
526025.BO,GLOBUS CON  
526027.BO,CUBEX TUBING
526043.BO,POLYMECH.MCH
526071.BO,STELLANT    
526073.BO,GALAXY BEAR.
526081.BO,SCAGRO      
526095.BO,RAVILEELA GR
526113.BO,UNIROYAL MAR
526115.BO,KARAN WOO-SN
526117.BO,SHERVANI IND
526125.BO,BNHOLDINGS  
526133.BO,SUPERTEX IND
526137.BO,SHETRON LTD 
526139.BO,TRANSGENE BI
526143.BO,MPL         
526159.BO,NIKHIL ADHSV
526161.BO,SPENTA INT. 
526169.BO,MULTIBASE I 
526173.BO,ANDREW YULE 
526179.BO,LUDOLOW JUTE
526187.BO,ASHRAM ONLIN
526193.BO,ROYAL CUSHIO
526195.BO,NEOGEM INDIA
526211.BO,SURAJ INDUS.
526217.BO,HITECHCORP  
526225.BO,BLOOM DEKOR 
526227.BO,FILATEX INDI
526231.BO,STD.SURFACT.
526237.BO,MORGAN VENT 
526241.BO,AMRAPALI IND
526247.BO,PREMIER EXPL
526251.BO,MID EAST POR
526263.BO,MOLD-TEK TEC
526269.BO,CRESTCHEM LT
526299.BO,MPHASIS LTD 
526301.BO,MEDINOVA DIA
526315.BO,DIVSHKT     
526325.BO,ORIENT PRESS
526335.BO,SHREYAS INTE
526345.BO,PANJON LTD. 
526355.BO,DURO PACK   
526365.BO,SWARNASA    
526367.BO,GANESH HSG. 
526371.BO,NMDC LTD    
526373.BO,CINDRELLA HT
526381.BO,PAT INT LOG 
526397.BO,ALPHAGEO (I)
526407.BO,RIT PRO IND 
526409.BO,KKALPANAIND 
526415.BO,OK PLAY (I) 
526423.BO,KRITI INDUS.
526431.BO,WELTERMAN I.
526433.BO,ASM TECHNOLO
526435.BO,PERFECTPAC  
526439.BO,AMBITIOUS PL
526441.BO,VISIONCINE  
526445.BO,INDRAYANI BI
526468.BO,EURO LEDAR F
526471.BO,WINSOME BREW
526473.BO,ELEGANT FLOR
526477.BO,S.A.ENTERPR.
526479.BO,SKY INDUST. 
526481.BO,PHOENIX INT.
526488.BO,BHUDEVI     
526490.BO,PRATIK PANEL
526492.BO,RISHIROOP   
526494.BO,PROMACT     
526500.BO,STR GRE WOO 
526504.BO,DOLPHIN MEDI
526506.BO,SYSTAMATIX C
526508.BO,SHAHISHIP   
526519.BO,ALPINE HSG. 
526521.BO,SANGHI IND. 
526525.BO,WWALUM      
526532.BO,SFPIL       
526544.BO,SCANP GEOM  
526546.BO,CHOKSI LABOR
526550.BO,CCHHL       
526554.BO,SALGUTI IND 
526568.BO,LONGVIEW TEA
526574.BO,ENTERPR.INTE
526576.BO,TECHIN      
526582.BO,TPL PLAST   
526586.BO,WIM PLAST LT
526588.BO,PHOTOQUIP(I)
526596.BO,LIBERTY SHOE
526604.BO,LIPPI SYSTEM
526608.BO,ELECTROTHERM
526612.BO,BLUE DART EX
526614.BO,EXPO GAS    
526616.BO,NAT.PLASTIC 
526622.BO,MFL INDIA   
526638.BO,TEXEL INDUS.
526640.BO,ROYALE MANOR
526642.BO,MIRZA INTER 
526650.BO,TOURISM FINA
526654.BO,THAKKERS DEV
526662.BO,RAJDARSHAN  
526666.BO,BHARTIYA INT
526668.BO,KAMAT HOTELS
526675.BO,TIRTH PLAST 
526683.BO,UNIVAFOODS  
526687.BO,POLO HOTELS 
526703.BO,ECOPLAST LTD
526705.BO,ELEGANT MARB
526711.BO,ADARSH PLANT
526717.BO,HPBL        
526721.BO,NICCO PARKS 
526723.BO,NTC INDUST  
526725.BO,SANDESH LTD.
526727.BO,GARNET CONST
526729.BO,GOLDIAM INT.
526731.BO,BRIGHT BROS.
526737.BO,CORPOR COUR 
526739.BO,NARMADA GEL 
526747.BO,P.G.FOILS   
526751.BO,GRATEX INDS.
526755.BO,VELAN HOTELS
526761.BO,HOWARD HOTEL
526773.BO,PRESSURE SEN
526775.BO,VALIANT COMM
526783.BO,DR.AGAR.EYE 
526795.BO,MAHASAGAR TR
526797.BO,GREENPLY IND
526799.BO,UNION QUALIT
526807.BO,SEAMEC LTD  
526813.BO,RAGHUNATH IN
526817.BO,CHEVIOT CO. 
526821.BO,DAI-ICHI KAR
526823.BO,RAJINFRA    
526827.BO,SPICE ISLAND
526829.BO,CONFI PETRO 
526839.BO,SHELTER     
526847.BO,ASHIRWAD STL
526849.BO,BANARAS BEAD
526851.BO,AREX IND.   
526853.BO,BILCARE LTD.
526859.BO,INTER ST.FIN
526861.BO,RISHI LASER 
526865.BO,JAINCO PROJ.
526871.BO,INTEC CAP   
526873.BO,RAJ.GASES LT
526881.BO,63MOONS     
526885.BO,SARLA PER F 
526899.BO,HFIL        
526901.BO,SONAL ADHESI
526905.BO,PADMAIND    
526921.BO,21ST CEN.MGM
526931.BO,HARIYANA SH.
526935.BO,ARUNIS      
526945.BO,TYROON TEA  
526947.BO,LA-OPALA RG 
526951.BO,GOLDEN LAMIN
526953.BO,VENUS REMEDI
526961.BO,LASTMILE    
526965.BO,GUJ.CRAFT IN
526967.BO,HEERA ISPAT 
526971.BO,DHOOT I.FIN.
526981.BO,SHBAJRG     
526987.BO,URJA GLOBAL 
527001.BO,ASHAPURA LTD
527005.BO,SH.PACETRON.
530001.BO,GUJ.ALKALI  
530005.BO,INDIA CEM.  
530007.BO,JK TYRE IND 
530011.BO,MANGLR.CHEM 
530017.BO,STD.INDUST. 
530019.BO,JUBLPHARMA  
530023.BO,THEINVEST   
530025.BO,SAMYAK INT  
530027.BO,AADI INDUS L
530035.BO,SANTOSH FINE
530043.BO,ACKNIT IND  
530045.BO,TITAN SECUR.
530053.BO,REALECO     
530055.BO,HARMONY CAP.
530057.BO,VIVANZA     
530063.BO,YASRAJ CONT.
530065.BO,LORDSHOTL   
530067.BO,CSLFINANCE  
530073.BO,SANGHVI MOVE
530075.BO,SELAN EXPLOR
530077.BO,FRESHTROP FR
530079.BO,FAZE THREE L
530095.BO,PRADHIN     
530109.BO,ANUPAM      
530111.BO,RAJ PACKAGIN
530117.BO,PRIVISCL    
530119.BO,NATRAJ PROTE
530125.BO,SAMRAT PHARM
530129.BO,NILE LTD.   
530131.BO,UDAIPUR CEME
530133.BO,AMCO INDIA L
530135.BO,OPTIEMUS    
530139.BO,KREON FIN   
530145.BO,KISAN MOULD.
530151.BO,VIJAY TEXTIL
530163.BO,KERALA AYUR 
530167.BO,MOONGIPA CAP
530169.BO,MOHIT PAPER 
530171.BO,DAULAT SEC. 
530175.BO,ODYSSEY TECH
530177.BO,SPS INTL.   
530185.BO,SURAT TEXT. 
530187.BO,ATHARV ENT  
530197.BO,FUNDVISER   
530199.BO,THEMIS MEDIC
530201.BO,KALLAM      
530207.BO,BRAWN BIO   
530213.BO,FORTUNE INT.
530215.BO,KINGSINFRA  
530217.BO,SWOJAS ENRGY
530219.BO,NUTRICIRCLE 
530233.BO,AURO LAB.   
530235.BO,KJMC FIN.   
530239.BO,SUVEN LIFE S
530245.BO,ARYAMAN FIN.
530249.BO,BRIDGE SECUR
530251.BO,RISA INTL   
530253.BO,RAJ.TUBE MFG
530255.BO,KAY POW PAP 
530259.BO,INTER ST.OIL
530263.BO,GLOBAL CAP. 
530265.BO,SAINIK FIN. 
530267.BO,SABOO BROS. 
530271.BO,RICH UNV    
530281.BO,QUANTUM DIG.
530289.BO,SP CAPITAL  
530291.BO,PAOS        
530299.BO,KOTHARI PROD
530305.BO,PICCADILY AG
530307.BO,CHAMANLAL SE
530309.BO,CHANDRA PRAB
530313.BO,KIMIABL     
530315.BO,HIND.TIN WRK
530317.BO,GODAVARI DRU
530331.BO,PREMCO GLOB.
530341.BO,MUKESH BABU 
530343.BO,GENUS POWER 
530355.BO,ASIANENE    
530357.BO,KBS INDIA   
530361.BO,PRABHHANS   
530363.BO,UGAR SUGAR  
530365.BO,ORIENTBELL  
530367.BO,NRB BEARINGS
530369.BO,VAMSHI RUBB.
530377.BO,NILA INFRA. 
530393.BO,DB INT.ST.BR
530401.BO,VINYOFLEX LT
530405.BO,JINDAL CAP. 
530407.BO,EPIC ENERGY 
530419.BO,SUMEDHA FISC
530421.BO,KUWER INDS. 
530427.BO,CHOKSI IMAG 
530429.BO,ASHISH POLY.
530431.BO,ADOR FONTECH
530433.BO,SHIVA FERT. 
530439.BO,SIDDHA VEN  
530443.BO,KIRAN SYNTEX
530445.BO,SUMERU IND  
530449.BO,RUNGTA IRRIG
530459.BO,VALSON INDUS
530461.BO,SABOO SODIUM
530475.BO,TINNARUBR   
530477.BO,VIKRAM THERM
530495.BO,STRATMONT   
530499.BO,A.K.CAPITAL 
530517.BO,RELAXO FOOT.
530521.BO,VIRAT INDUS.
530525.BO,SHEETAL DIAM
530533.BO,TERAI TEA CO
530545.BO,COSCO INDIA 
530549.BO,SHILPA MEDIC
530555.BO,PARAMOUNT CO
530557.BO,NCL RESEARCH
530565.BO,ARCHANA SOFT
530577.BO,LADDERUP FIN
530579.BO,UYFINCORP   
530581.BO,EKAM LEASING
530585.BO,SWASTIK INV 
530589.BO,PRIMA PLASTI
530595.BO,TELECANOR   
530601.BO,JAGSON FIN. 
530611.BO,STURDY INDS 
530615.BO,GARG FURNACE
530617.BO,SAMPRE NUTRI
530621.BO,AAIL        
530627.BO,VIPULORG    
530643.BO,ECORECO     
530655.BO,GOODLUCK    
530663.BO,GOYAL ASSO. 
530665.BO,ZENITH HEALT
530669.BO,ACEENGITEC  
530675.BO,YORK EXPORTS
530677.BO,SUPREME HO  
530689.BO,LYKISLTD    
530695.BO,PRIME PROP  
530697.BO,ZENLABS     
530699.BO,RAJRAYON    
530709.BO,GOWRA LEASNG
530711.BO,JAGAN LAMPS 
530713.BO,AJEL        
530715.BO,ALPS INDS.  
530723.BO,ASIT C FIN  
530733.BO,ENCODE      
530735.BO,SUPER BAKERS
530741.BO,OVOBEL FOODS
530747.BO,INDO ASN.FIN
530755.BO,CORAL NEWSPR
530759.BO,STERL.TOOLS 
530765.BO,AGARWAL     
530771.BO,KLG CAPITAL 
530779.BO,DYNAMIC PORT
530789.BO,CEEJAY FINAN
530795.BO,SUNCITY SYNT
530797.BO,SHREE GANES.
530803.BO,BHAGIL      
530809.BO,BNR UDYOG   
530813.BO,KRBL LTD.   
530815.BO,REFNOL RESIN
530821.BO,SSPDL LTD   
530825.BO,DAIKAFFIL CH
530829.BO,CIL SECURITS
530839.BO,CLIO INFOTEC
530843.BO,CUPID LTD   
530845.BO,SUNSHIELD CH
530853.BO,HIPOLIN LTD.
530871.BO,CHEMBOND CHM
530879.BO,CIFL        
530881.BO,ABVL        
530883.BO,SUPER CROP. 
530897.BO,N.G.IND.LTD.
530917.BO,R.R.SECUR.  
530919.BO,REMSONS IND.
530925.BO,RAMSONS PROJ
530931.BO,STANPACKS(I)
530943.BO,SRI ADHIKARI
530951.BO,RAMINFO     
530953.BO,SUNIL AGRO F
530959.BO,DIANA TEA CO
530961.BO,VIKASECO    
530965.BO,INDIAN OIL  
530973.BO,ALFA ICA (I)
530977.BO,SKCIL       
530979.BO,INDIA HOME  
530985.BO,JPT SECUR.  
530991.BO,ROOPA INDUS 
530997.BO,UNIQUE ORGAN
530999.BO,BALAJI AMINE
