YF_Symbol,SC_NAME
500414.BO,TIMEX GROUP 
500418.BO,TOKYO PLAST 
500420.BO,TORRENT PHAR
500422.BO,TRANSCHEM   
500425.BO,AMBUJA CEME 
500426.BO,UTLINDS     
500429.BO,UNIPHOS ENT.
500439.BO,VARD HOLDNG 
500440.BO,HINDALCO    
500444.BO,WEST COAS PA
500449.BO,HIND.ORG.CHM
500450.BO,MPIL CORP L 
500456.BO,PAS.ACRYLON 
500458.BO,KORE        
500459.BO,PROCTER &GAM
500460.BO,MUKAND LTD. 
500463.BO,BBOX        
500464.BO,UCAL FUEL   
500467.BO,HARR.MALAYAL
500469.BO,FEDERAL BANK
500470.BO,TATA STEEL  
500472.BO,SKF INDIA   
500477.BO,ASHOK LEYL. 
500480.BO,CUMMINS (I) 
500483.BO,TATA COMM   
500488.BO,ABBOTT (I)  
500490.BO,BAJ HOLD INV
500493.BO,BHARAT FORGE
500495.BO,ESCORTS     
500500.BO,HIND.MOTORS 
500510.BO,LARSEN & TOU
500520.BO,MAH & MAH   
500530.BO,BOSCH LTD   
500540.BO,PREMIER LTD 
500547.BO,BHARAT PET. 
500550.BO,SIEMENS LTD.
500570.BO,TATA MOTORS 
500575.BO,VOLTAS LTD  
500620.BO,GREAT EASTE 
500645.BO,DEEPAK FERT.
500650.BO,EXCEL INDUST
500655.BO,GRWRHITECH  
500660.BO,GLAXOSMITH  
500670.BO,GUJ.NARMADA 
500672.BO,NOVARTIS    
500674.BO,SANOFI      
500680.BO,PFIZER LTD. 
500690.BO,GUJ.ST.FERT 
500696.BO,HIND UNI LT 
500710.BO,AKZOINDIA   
500730.BO,NOCIL LTD   
500770.BO,TATA CHEM.  
500777.BO,T.P.L.      
500780.BO,ZUARIIND    
500790.BO,NESTLE (I)  
500800.BO,TATACONSUM  
500820.BO,ASIAN PAINTS
500825.BO,BRITANIA IND
500830.BO,COLGATE PALM
500840.BO,EIH LTD.    
500850.BO,INDIAN HOTEL
500870.BO,CASTROL     
500875.BO,ITC LTD.    
500877.BO,APOLLO TYRES
500878.BO,CEAT LIMITED
500890.BO,MODI RUBBER 
500940.BO,FINOLEX IND.
501148.BO,DALAL ST INV
501150.BO,CENTRUM CAP 
501242.BO,TCI FINANCE 
501295.BO,INDUS.INV.TR
501298.BO,INDUS.&PRUD.
501301.BO,TATA INVEST.
501314.BO,PRISMX      
501343.BO,MOTOR&GEN.FI
501370.BO,WALCHAND PF 
501391.BO,W.H.BRADY   
501421.BO,TECHNVISN   
501423.BO,SHA ENG PLA 
501425.BO,BOM.BURMAH  
501430.BO,BOM.CYCLE   
501455.BO,GREAVES COTT
501477.BO,MULLER & PHI
501622.BO,AMALGAMATED 
501700.BO,INDIA NIVEH 
501831.BO,COAST CORP  
501833.BO,CHOWGULE ST 
501848.BO,GLOBAL OFFS 
502015.BO,ASIIL       
502090.BO,SAGAR CEM.  
502133.BO,HEMADRI CEM 
502137.BO,DECAN CEMENT
502157.BO,MANGALAM CEM
502168.BO,N C L IND.  
502175.BO,SAURAS.CEM. 
502180.BO,SRI DIGV CEM
502219.BO,BORORENEW   
502250.BO,LERTHAI     
502271.BO,RAASI REFRAC
502281.BO,TRIVENI GLAS
502294.BO,NILACHAL REF
502330.BO,ANDPAPER    
502355.BO,BALKRISH IND
502420.BO,ORIENT PAPER
502445.BO,CITADEL     
502450.BO,SESHA.PAPER 
502587.BO,NATHIND     
502589.BO,VAPI PAPER  
502820.BO,DCM LTD.    
502865.BO,FORBES & CO 
502873.BO,H.P.COTTON  
502933.BO,KATARE SPG. 
502937.BO,KESORAM IND 
502958.BO,LAKSHMI MILL
502986.BO,VARDH TEXT  
503031.BO,PENLAND LTD 
503092.BO,PASUPATI SPG
503100.BO,PHOENIX MILL
503101.BO,MARATHON NEX
503127.BO,RAJA BAHADUR
503162.BO,REL.CHEMOTX 
503169.BO,RUBY MILLS  
503229.BO,SIMPLEX REAL
503310.BO,SWAN ENG    
503349.BO,VICTORIA MIL
503624.BO,SVARAJ TRAD 
503641.BO,ZODIAC VEN  
503657.BO,VEER ENERGY 
503663.BO,TILAK       
503669.BO,KKFIN       
503675.BO,WAGEND      
503685.BO,MEDIA ONE   
503722.BO,BANSW.SYNTEX
503772.BO,MODELLA WOOL
503776.BO,MODIPON     
503804.BO,SHRI DINESH 
503806.BO,SRF LIMITED 
503811.BO,SIYARAM SILK
503816.BO,SWAD.POLYTEX
503837.BO,SHREE RAJSYN
503960.BO,BHARAT BIJLE
504000.BO,ELPRO INTER 
504028.BO,GEE LTD     
504036.BO,HIND.RECT   
504058.BO,NIPPOBATRY  
504067.BO,ZENSAR TECH.
504076.BO,JYOTI LTD.  
504080.BO,JSL LTD.    
504084.BO,KAYCEE IND  
504092.BO,INDOKEM LTD.
504093.BO,PANA ENERG  
504112.BO,NELCO LTD.  
504132.BO,PERM MAGNETS
504176.BO,HIGH ENERGY 
504180.BO,STD.BATTERY 
504212.BO,UNIV.CABLE  
504220.BO,W.S.INDUSTR.
504240.BO,DELTON CABLE
504258.BO,LAKSHMI ELEC
504273.BO,MODULEX     
504286.BO,DELTAMAGNT  
504340.BO,CONFINT     
504341.BO,RELTD       
504351.BO,EMPOWER     
504356.BO,MULTI-PURPOS
504378.BO,NYSSACORP   
504380.BO,FLOMIC      
504392.BO,KRISHNA VEN 
504397.BO,GANESH HOLDI
504605.BO,UNI ABEX    
504614.BO,SARDA ENMIN 
504646.BO,BHAGWATI AUT
504648.BO,BOM.WIRE ROP
504697.BO,GALADA TELE.
504731.BO,I BRIGHT ST 
504741.BO,IND.HUME PIP
504746.BO,IND.LINKCHAI
504786.BO,INVEST &PREC
504810.BO,INFORMEDTEC 
504840.BO,KAIRA CAN CO
504879.BO,ORIENT ABRAS
504882.BO,NATIONAL STD
504903.BO,RATHI ST    
504908.BO,DUNCANENG   
504918.BO,SANDUMA     
504959.BO,STOVAC IND. 
504961.BO,TATA YODOGAW
504966.BO,TINPLATE    
504973.BO,CHOLAHLDNG  
504988.BO,WELCAST     
505010.BO,AUTO AXLES  
505036.BO,AUTO COR.GOA
505075.BO,SETCO AUTO  
505141.BO,SCOOTERS IND
505160.BO,TALBROS AUTO
505163.BO,ZF STEERING 
505192.BO,SMLISUZU    
505196.BO,TIL LTD.    
505200.BO,EICHER MOTOR
505212.BO,JAINEX      
505216.BO,ALFRED HERB 
505232.BO,VELJAN      
505242.BO,DYNAMAT.TECH
505250.BO,G.G.DANDEKAR
505255.BO,GMM PFAUDLER
505283.BO,KIRLOSAR PN 
505285.BO,TULIVE      
505299.BO,KPT         
505302.BO,LAXMI AUTOLM
505324.BO,MANUGRAPH IN
505343.BO,MONOTYPE IND
505355.BO,NESCO LTD   
505358.BO,INTEGRA ENG 
505368.BO,REVATHI EQU.
505400.BO,TEXINFRA    
